Microgreen,Biomass_g,Sowing_Density,X,Y,Bed,Light_Intensity_umols,Bed_Position,Position_in_Bed,Unique_Identifier,Red_Light_Intensity_umols,Blue_Light_Intensity_umols,Far_Red_Light_Intensity_umols,
125,Kale(CN),4,15,1,1,A,478,1,Corner,1 1,58.21333333,77.36685185,10.30714286
126,Kale(CN),5,15,2,1,A,503,1,Edge,2 1,58.20049383,77.35018519,11.19196429
127,Kale(CN),3.5,15,3,1,A,520,1,Edge,3 1,58.20790123,77.36037037,10.82785714
128,Kale(CN),2.5,15,4,1,A,518,1,Corner,4 1,58.19444444,77.34333333,10.67571429
61,Radish,14,45,5,1,A,547,2,Corner,5 1,58.21567901,77.37148148,11.94821429
62,Radish,30,45,6,1,A,547,2,Edge,6 1,58.19481481,77.34425926,11.86089286
63,Radish,23.5,45,7,1,A,546,2,Edge,7 1,58.20679012,77.35907407,10.99267857
64,Radish,17.5,45,8,1,A,536,2,Corner,8 1,58.19790123,77.34685185,10.81607143
253,Sunflower,14,100,9,1,A,546,3,Corner,9 1,58.20333333,77.355,11.99982143
254,Sunflower,30,100,10,1,A,537,3,Edge,10 1,58.20185185,77.35166667,11.80964286
255,Sunflower,23.5,100,11,1,A,535,3,Edge,11 1,58.20592593,77.35777778,10.96642857
256,Sunflower,17.5,100,12,1,A,519,3,Corner,12 1,58.20962963,77.36259259,10.87428571
189,Kale(Tozer),11,15,13,1,A,510,4,Corner,13 1,58.22382716,72.70611111,9.467857143
190,Kale(Tozer),18.5,15,14,1,A,508,4,Edge,14 1,58.21617284,77.375,10.55910714
191,Kale(Tozer),18.5,15,15,1,A,482,4,Edge,15 1,58.21209877,77.1937037,9.985357143
192,Kale(Tozer),8.5,15,16,1,A,428,4,Corner,16 1,58.21506173,77.37314815,9.771607143
121,Kale(CN),5.5,15,1,2,A,453,1,Edge,1 2,58.20518519,77.35685185,10.5325
122,Kale(CN),6,15,2,2,A,502,1,Centre,2 2,58.1954321,77.345,11.39482143
123,Kale(CN),4.5,15,3,2,A,524,1,Centre,3 2,58.20790123,77.36037037,11.85392857
124,Kale(CN),3.5,15,4,2,A,541,1,Edge,4 2,58.19728395,77.34648148,10.62357143
57,Radish,17,45,5,2,A,557,2,Edge,5 2,58.20234568,77.35222222,12.30964286
58,Radish,20.5,45,6,2,A,560,2,Centre,6 2,58.19654321,77.34611111,12.12821429
59,Radish,26,45,7,2,A,561,2,Centre,7 2,58.20604938,77.3587037,11.90142857
60,Radish,20,45,8,2,A,557,2,Edge,8 2,58.20617284,77.3587037,11.70714286
249,Sunflower,17,100,9,2,A,551,3,Edge,9 2,58.1982716,77.34722222,12.39767857
250,Sunflower,20.5,100,10,2,A,555,3,Centre,10 2,58.19716049,77.34648148,12.49089286
251,Sunflower,26,100,11,2,A,557,3,Centre,11 2,58.21148148,77.36574074,11.77357143
252,Sunflower,20,100,12,2,A,552,3,Edge,12 2,58.20518519,77.35685185,11.77839286
185,Kale(Tozer),12.5,15,13,2,A,528,4,Edge,13 2,58.21950617,74.25092593,10.39392857
186,Kale(Tozer),17,15,14,2,A,512,4,Centre,14 2,58.21481481,77.37240741,11.605
187,Kale(Tozer),14,15,15,2,A,495,4,Centre,15 2,58.21987654,77.37777778,11.08821429
188,Kale(Tozer),10,15,16,2,A,455,4,Edge,16 2,58.21037037,60.30407407,7.587321429
117,Kale(CN),5,15,1,3,A,366,1,Edge,1 3,58.20518519,68.81296296,8.168392857
118,Kale(CN),5.5,15,2,3,A,410,1,Centre,2 3,58.20037037,73.11240741,9.271785714
119,Kale(CN),3.5,15,3,3,A,464,1,Centre,3 3,58.19925926,72.06055556,9.03875
120,Kale(CN),3.5,15,4,3,A,468,1,Edge,4 3,58.19950617,69.46722222,8.5825
53,Radish,16,45,5,3,A,484,2,Edge,5 3,58.20259259,77.35259259,10.47232143
54,Radish,22,45,6,3,A,488,2,Centre,6 3,58.20740741,77.35981481,10.50982143
55,Radish,27.5,45,7,3,A,493,2,Centre,7 3,58.19975309,77.34962963,10.51410714
56,Radish,17,45,8,3,A,494,2,Edge,8 3,58.21567901,77.37148148,10.905
245,Sunflower,16,100,9,3,A,499,3,Edge,9 3,58.20740741,77.36,10.45982143
246,Sunflower,22,100,10,3,A,496,3,Centre,10 3,58.2037037,77.35574074,10.40196429
247,Sunflower,27.5,100,11,3,A,495,3,Centre,11 3,58.20790123,75.84925926,9.715357143
248,Sunflower,17,100,12,3,A,490,3,Edge,12 3,58.20395062,77.15888889,10.54767857
181,Kale(Tozer),9,15,13,3,A,474,4,Edge,13 3,58.21444444,69.83796296,8.459285714
182,Kale(Tozer),12.5,15,14,3,A,461,4,Centre,14 3,58.20901235,76.83759259,9.64625
183,Kale(Tozer),12.5,15,15,3,A,440,4,Centre,15 3,58.22160494,77.38092593,10.02928571
184,Kale(Tozer),7,15,16,3,A,409,4,Edge,16 3,58.22580247,76.28111111,10.21446429
113,Kale(CN),3.5,15,1,4,A,310,1,Corner,1 4,58.2117284,66.21148148,7.31125
114,Kale(CN),4,15,2,4,A,320,1,Edge,2 4,58.21222222,65.65074074,7.242678571
115,Kale(CN),4,15,3,4,A,353,1,Edge,3 4,58.21283951,60.07092593,6.781964286
116,Kale(CN),4.5,15,4,4,A,370,1,Corner,4 4,58.2117284,67.00166667,7.518571429
49,Radish,11.5,45,5,4,A,383,2,Corner,5 4,58.19641975,70.83851852,8.10125
50,Radish,18,45,6,4,A,390,2,Edge,6 4,58.20617284,71.07611111,8.141071429
51,Radish,21,45,7,4,A,390,2,Edge,7 4,58.20283951,64.44925926,7.28875
52,Radish,23.5,45,8,4,A,396,2,Corner,8 4,58.20987654,70.29555556,8.360892857
241,Sunflower,11.5,100,9,4,A,386,3,Corner,9 4,58.20407407,70.73166667,8.062857143
242,Sunflower,18,100,10,4,A,396,3,Edge,10 4,58.2,70.51314815,8.051428571
243,Sunflower,21,100,11,4,A,398,3,Edge,11 4,58.2082716,67.6212963,7.500714286
244,Sunflower,13.5,100,12,4,A,389,3,Corner,12 4,58.21074074,66.23351852,8.025178571
